prod_code,prod_name,prod_desc,prod_price
6559,Product 6559,The product that's perfect for 6559 stuff,0
6618,Product 6618,The product that's perfect for 6618 stuff,0
6644,Product 6644,The product that's perfect for 6644 stuff,0
6683,Product 6683,The product that's perfect for 6683 stuff,0
6753,Product 6753,The product that's perfect for 6753 stuff,0
6755,Product 6755,The product that's perfect for 6755 stuff,0
6788,Product 6788,The product that's perfect for 6788 stuff,0
6883,Product 6883,The product that's perfect for 6883 stuff,0
6980,Product 6980,The product that's perfect for 6980 stuff,0
7047,Product 7047,The product that's perfect for 7047 stuff,0
7055,Product 7055,The product that's perfect for 7055 stuff,0
7059,Product 7059,The product that's perfect for 7059 stuff,0
7100,Product 7100,The product that's perfect for 7100 stuff,0
7120,Product 7120,The product that's perfect for 7120 stuff,0
7129,Product 7129,The product that's perfect for 7129 stuff,0
7160,Product 7160,The product that's perfect for 7160 stuff,0
7163,Product 7163,The product that's perfect for 7163 stuff,0
7339,Product 7339,The product that's perfect for 7339 stuff,0
7403,Product 7403,The product that's perfect for 7403 stuff,0
7405,Product 7405,The product that's perfect for 7405 stuff,0
7443,Product 7443,The product that's perfect for 7443 stuff,0
7517,Product 7517,The product that's perfect for 7517 stuff,0
7543,Product 7543,The product that's perfect for 7543 stuff,0
7572,Product 7572,The product that's perfect for 7572 stuff,0
7615,Product 7615,The product that's perfect for 7615 stuff,0
7618,Product 7618,The product that's perfect for 7618 stuff,0
7640,Product 7640,The product that's perfect for 7640 stuff,0
7675,Product 7675,The product that's perfect for 7675 stuff,0
7696,Product 7696,The product that's perfect for 7696 stuff,0
7762,Product 7762,The product that's perfect for 7762 stuff,0
7820,Product 7820,The product that's perfect for 7820 stuff,0
7866,Product 7866,The product that's perfect for 7866 stuff,0
7867,Product 7867,The product that's perfect for 7867 stuff,0
8127,Product 8127,The product that's perfect for 8127 stuff,0
8135,Product 8135,The product that's perfect for 8135 stuff,0
8211,Product 8211,The product that's perfect for 8211 stuff,0
8258,Product 8258,The product that's perfect for 8258 stuff,0
8269,Product 8269,The product that's perfect for 8269 stuff,0
8270,Product 8270,The product that's perfect for 8270 stuff,0
8503,Product 8503,The product that's perfect for 8503 stuff,0
8510,Product 8510,The product that's perfect for 8510 stuff,0
8568,Product 8568,The product that's perfect for 8568 stuff,0
8687,Product 8687,The product that's perfect for 8687 stuff,0
8758,Product 8758,The product that's perfect for 8758 stuff,0
8772,Product 8772,The product that's perfect for 8772 stuff,0
8794,Product 8794,The product that's perfect for 8794 stuff,0
8829,Product 8829,The product that's perfect for 8829 stuff,0
8933,Product 8933,The product that's perfect for 8933 stuff,0
8986,Product 8986,The product that's perfect for 8986 stuff,0
9049,Product 9049,The product that's perfect for 9049 stuff,0
9064,Product 9064,The product that's perfect for 9064 stuff,0
9225,Product 9225,The product that's perfect for 9225 stuff,0
9352,Product 9352,The product that's perfect for 9352 stuff,0
9356,Product 9356,The product that's perfect for 9356 stuff,0
9373,Product 9373,The product that's perfect for 9373 stuff,0
9385,Product 9385,The product that's perfect for 9385 stuff,0
9502,Product 9502,The product that's perfect for 9502 stuff,0
9579,Product 9579,The product that's perfect for 9579 stuff,0
9609,Product 9609,The product that's perfect for 9609 stuff,0
9636,Product 9636,The product that's perfect for 9636 stuff,0
9664,Product 9664,The product that's perfect for 9664 stuff,0
9687,Product 9687,The product that's perfect for 9687 stuff,0
9704,Product 9704,The product that's perfect for 9704 stuff,0
9718,Product 9718,The product that's perfect for 9718 stuff,0
9733,Product 9733,The product that's perfect for 9733 stuff,0
9760,Product 9760,The product that's perfect for 9760 stuff,0
9780,Product 9780,The product that's perfect for 9780 stuff,0
9794,Product 9794,The product that's perfect for 9794 stuff,0
9860,Product 9860,The product that's perfect for 9860 stuff,0
9865,Product 9865,The product that's perfect for 9865 stuff,0
9945,Product 9945,The product that's perfect for 9945 stuff,0
8704,Product 8704,The product that's perfect for 8704 stuff,139264
7168,Product 7168,The product that's perfect for 7168 stuff,172032
8192,Product 8192,The product that's perfect for 8192 stuff,360448
1,Product 1,The product that's perfect for 1 stuff,40
4,Product 4,The product that's perfect for 4 stuff,40
58,Product 58,The product that's perfect for 58 stuff,58
2,Product 2,The product that's perfect for 2 stuff,62
3,Product 3,The product that's perfect for 3 stuff,84
52,Product 52,The product that's perfect for 52 stuff,104
124,Product 124,The product that's perfect for 124 stuff,124
9,Product 9,The product that's perfect for 9 stuff,144
152,Product 152,The product that's perfect for 152 stuff,152
160,Product 160,The product that's perfect for 160 stuff,160
8,Product 8,The product that's perfect for 8 stuff,168
23,Product 23,The product that's perfect for 23 stuff,184
16,Product 16,The product that's perfect for 16 stuff,192
40,Product 40,The product that's perfect for 40 stuff,240
80,Product 80,The product that's perfect for 80 stuff,400
12,Product 12,The product that's perfect for 12 stuff,432
15,Product 15,The product that's perfect for 15 stuff,480
128,Product 128,The product that's perfect for 128 stuff,512
32,Product 32,The product that's perfect for 32 stuff,1024
320,Product 320,The product that's perfect for 320 stuff,1280
42,Product 42,The product that's perfect for 42 stuff,1344
864,Product 864,The product that's perfect for 864 stuff,1728
1728,Product 1728,The product that's perfect for 1728 stuff,1728
64,Product 64,The product that's perfect for 64 stuff,1856
1280,Product 1280,The product that's perfect for 1280 stuff,2560
2816,Product 2816,The product that's perfect for 2816 stuff,2816
100,Product 100,The product that's perfect for 100 stuff,3200
176,Product 176,The product that's perfect for 176 stuff,5632
256,Product 256,The product that's perfect for 256 stuff,7168
608,Product 608,The product that's perfect for 608 stuff,9728
960,Product 960,The product that's perfect for 960 stuff,15360
512,Product 512,The product that's perfect for 512 stuff,15872
640,Product 640,The product that's perfect for 640 stuff,20480
4096,Product 4096,The product that's perfect for 4096 stuff,20480
1792,Product 1792,The product that's perfect for 1792 stuff,21504
3072,Product 3072,The product that's perfect for 3072 stuff,24576
2048,Product 2048,The product that's perfect for 2048 stuff,26624
576,Product 576,The product that's perfect for 576 stuff,27648
1024,Product 1024,The product that's perfect for 1024 stuff,34816
7936,Product 7936,The product that's perfect for 7936 stuff,63488
6144,Product 6144,The product that's perfect for 6144 stuff,86016
5632,Product 5632,The product that's perfect for 5632 stuff,90112
6657,Product 6657,The product that's perfect for 6657 stuff,213024
1451,Product 1451,The product that's perfect for 1451 stuff,4353
223,Product 223,The product that's perfect for 223 stuff,6913
660,Product 660,The product that's perfect for 660 stuff,29700
4552,Product 4552,The product that's perfect for 4552 stuff,40968
1188,Product 1188,The product that's perfect for 1188 stuff,59400
6145,Product 6145,The product that's perfect for 6145 stuff,98320
4752,Product 4752,The product that's perfect for 4752 stuff,118800
6658,Product 6658,The product that's perfect for 6658 stuff,213056
2177,Product 2177,The product that's perfect for 2177 stuff,2177
313,Product 313,The product that's perfect for 313 stuff,2817
3585,Product 3585,The product that's perfect for 3585 stuff,7170
294,Product 294,The product that's perfect for 294 stuff,7938
2049,Product 2049,The product that's perfect for 2049 stuff,8196
2817,Product 2817,The product that's perfect for 2817 stuff,11268
1067,Product 1067,The product that's perfect for 1067 stuff,12804
1164,Product 1164,The product that's perfect for 1164 stuff,12804
3329,Product 3329,The product that's perfect for 3329 stuff,13316
1434,Product 1434,The product that's perfect for 1434 stuff,14340
3512,Product 3512,The product that's perfect for 3512 stuff,49168
1336,Product 1336,The product that's perfect for 1336 stuff,61456
5122,Product 5122,The product that's perfect for 5122 stuff,81952
2134,Product 2134,The product that's perfect for 2134 stuff,102432
2328,Product 2328,The product that's perfect for 2328 stuff,102432
2646,Product 2646,The product that's perfect for 2646 stuff,127008
3488,Product 3488,The product that's perfect for 3488 stuff,163936
3920,Product 3920,The product that's perfect for 3920 stuff,180320
7172,Product 7172,The product that's perfect for 7172 stuff,344256
5379,Product 5379,The product that's perfect for 5379 stuff,5379
2305,Product 2305,The product that's perfect for 2305 stuff,55320
6915,Product 6915,The product that's perfect for 6915 stuff,110640
1537,Product 1537,The product that's perfect for 1537 stuff,1537
2178,Product 2178,The product that's perfect for 2178 stuff,2178
366,Product 366,The product that's perfect for 366 stuff,2562
410,Product 410,The product that's perfect for 410 stuff,4100
2050,Product 2050,The product that's perfect for 2050 stuff,4100
968,Product 968,The product that's perfect for 968 stuff,8712
888,Product 888,The product that's perfect for 888 stuff,26640
3952,Product 3952,The product that's perfect for 3952 stuff,27664
3168,Product 3168,The product that's perfect for 3168 stuff,34848
1345,Product 1345,The product that's perfect for 1345 stuff,43040
3202,Product 3202,The product that's perfect for 3202 stuff,102464
6661,Product 6661,The product that's perfect for 6661 stuff,213152
6405,Product 6405,The product that's perfect for 6405 stuff,12810
1594,Product 1594,The product that's perfect for 1594 stuff,14346
5637,Product 5637,The product that's perfect for 5637 stuff,45096
6148,Product 6148,The product that's perfect for 6148 stuff,61480
5381,Product 5381,The product that's perfect for 5381 stuff,86096
4782,Product 4782,The product that's perfect for 4782 stuff,114768
5168,Product 5168,The product that's perfect for 5168 stuff,118864
9568,Product 9568,The product that's perfect for 9568 stuff,344448
1153,Product 1153,The product that's perfect for 1153 stuff,3459
3715,Product 3715,The product that's perfect for 3715 stuff,3715
468,Product 468,The product that's perfect for 468 stuff,21528
828,Product 828,The product that's perfect for 828 stuff,21528
936,Product 936,The product that's perfect for 936 stuff,21528
2888,Product 2888,The product that's perfect for 2888 stuff,31768
769,Product 769,The product that's perfect for 769 stuff,36912
974,Product 974,The product that's perfect for 974 stuff,38960
2819,Product 2819,The product that's perfect for 2819 stuff,90208
7686,Product 7686,The product that's perfect for 7686 stuff,122976
3418,Product 3418,The product that's perfect for 3418 stuff,164064
746,Product 746,The product that's perfect for 746 stuff,8206
923,Product 923,The product that's perfect for 923 stuff,9230
9742,Product 9742,The product that's perfect for 9742 stuff,9742
629,Product 629,The product that's perfect for 629 stuff,13838
350,Product 350,The product that's perfect for 350 stuff,14350
1025,Product 1025,The product that's perfect for 1025 stuff,14350
6151,Product 6151,The product that's perfect for 6151 stuff,24604
1453,Product 1453,The product that's perfect for 1453 stuff,34872
6152,Product 6152,The product that's perfect for 6152 stuff,43064
4442,Product 4442,The product that's perfect for 4442 stuff,53304
5888,Product 5888,The product that's perfect for 5888 stuff,229632
108,Product 108,The product that's perfect for 108 stuff,2052
216,Product 216,The product that's perfect for 216 stuff,4104
2180,Product 2180,The product that's perfect for 2180 stuff,4360
641,Product 641,The product that's perfect for 641 stuff,5128
238,Product 238,The product that's perfect for 238 stuff,6664
436,Product 436,The product that's perfect for 436 stuff,17440
872,Product 872,The product that's perfect for 872 stuff,17440
2208,Product 2208,The product that's perfect for 2208 stuff,28704
5126,Product 5126,The product that's perfect for 5126 stuff,246048
5696,Product 5696,The product that's perfect for 5696 stuff,279104
1795,Product 1795,The product that's perfect for 1795 stuff,5385
699,Product 699,The product that's perfect for 699 stuff,7689
9746,Product 9746,The product that's perfect for 9746 stuff,9746
3284,Product 3284,The product that's perfect for 3284 stuff,32840
5816,Product 5816,The product that's perfect for 5816 stuff,139584
8724,Product 8724,The product that's perfect for 8724 stuff,139584
217,Product 217,The product that's perfect for 217 stuff,2821
2949,Product 2949,The product that's perfect for 2949 stuff,5898
3333,Product 3333,The product that's perfect for 3333 stuff,6666
2052,Product 2052,The product that's perfect for 2052 stuff,10260
3077,Product 3077,The product that's perfect for 3077 stuff,12308
513,Product 513,The product that's perfect for 513 stuff,20520
1111,Product 1111,The product that's perfect for 1111 stuff,26664
4956,Product 4956,The product that's perfect for 4956 stuff,118944
4768,Product 4768,The product that's perfect for 4768 stuff,147808
627,Product 627,The product that's perfect for 627 stuff,11286
650,Product 650,The product that's perfect for 650 stuff,19500
4619,Product 4619,The product that's perfect for 4619 stuff,36952
7524,Product 7524,The product that's perfect for 7524 stuff,90288
5472,Product 5472,The product that's perfect for 5472 stuff,196992
1091,Product 1091,The product that's perfect for 1091 stuff,1091
577,Product 577,The product that's perfect for 577 stuff,3462
169,Product 169,The product that's perfect for 169 stuff,3718
2308,Product 2308,The product that's perfect for 2308 stuff,13848
3718,Product 3718,The product that's perfect for 3718 stuff,14872
3334,Product 3334,The product that's perfect for 3334 stuff,26672
1436,Product 1436,The product that's perfect for 1436 stuff,28720
1120,Product 1120,The product that's perfect for 1120 stuff,36960
944,Product 944,The product that's perfect for 944 stuff,47200
5408,Product 5408,The product that's perfect for 5408 stuff,59488
2564,Product 2564,The product that's perfect for 2564 stuff,61536
8728,Product 8728,The product that's perfect for 8728 stuff,69824
2438,Product 2438,The product that's perfect for 2438 stuff,78016
5744,Product 5744,The product that's perfect for 5744 stuff,114880
4109,Product 4109,The product that's perfect for 4109 stuff,131488
7693,Product 7693,The product that's perfect for 7693 stuff,246176
9032,Product 9032,The product that's perfect for 9032 stuff,361280
131,Product 131,The product that's perfect for 131 stuff,6157
1129,Product 1129,The product that's perfect for 1129 stuff,11290
5820,Product 5820,The product that's perfect for 5820 stuff,34920
8730,Product 8730,The product that's perfect for 8730 stuff,34920
4516,Product 4516,The product that's perfect for 4516 stuff,45160
6413,Product 6413,The product that's perfect for 6413 stuff,51304
2479,Product 2479,The product that's perfect for 2479 stuff,59496
4396,Product 4396,The product that's perfect for 4396 stuff,61544
2223,Product 2223,The product that's perfect for 2223 stuff,106704
8208,Product 8208,The product that's perfect for 8208 stuff,106704
4622,Product 4622,The product that's perfect for 4622 stuff,147904
454,Product 454,The product that's perfect for 454 stuff,5902
378,Product 378,The product that's perfect for 378 stuff,7182
7694,Product 7694,The product that's perfect for 7694 stuff,7694
2740,Product 2740,The product that's perfect for 2740 stuff,8220
9244,Product 9244,The product that's perfect for 9244 stuff,9244
2439,Product 2439,The product that's perfect for 2439 stuff,9756
604,Product 604,The product that's perfect for 604 stuff,10268
5134,Product 5134,The product that's perfect for 5134 stuff,10268
813,Product 813,The product that's perfect for 813 stuff,19512
1078,Product 1078,The product that's perfect for 1078 stuff,21560
4336,Product 4336,The product that's perfect for 4336 stuff,39024
6158,Product 6158,The product that's perfect for 6158 stuff,49264
6384,Product 6384,The product that's perfect for 6384 stuff,57456
1590,Product 1590,The product that's perfect for 1590 stuff,63600
6159,Product 6159,The product that's perfect for 6159 stuff,197088
1283,Product 1283,The product that's perfect for 1283 stuff,6415
7951,Product 7951,The product that's perfect for 7951 stuff,15902
476,Product 476,The product that's perfect for 476 stuff,19516
1539,Product 1539,The product that's perfect for 1539 stuff,30780
5224,Product 5224,The product that's perfect for 5224 stuff,57464
9248,Product 9248,The product that's perfect for 9248 stuff,295936
91,Product 91,The product that's perfect for 91 stuff,546
61,Product 61,The product that's perfect for 61 stuff,610
18,Product 18,The product that's perfect for 18 stuff,738
417,Product 417,The product that's perfect for 417 stuff,834
136,Product 136,The product that's perfect for 136 stuff,2312
488,Product 488,The product that's perfect for 488 stuff,2440
353,Product 353,The product that's perfect for 353 stuff,2824
3848,Product 3848,The product that's perfect for 3848 stuff,3848
1456,Product 1456,The product that's perfect for 1456 stuff,4368
122,Product 122,The product that's perfect for 122 stuff,4880
984,Product 984,The product that's perfect for 984 stuff,5904
2952,Product 2952,The product that's perfect for 2952 stuff,5904
620,Product 620,The product that's perfect for 620 stuff,7440
1988,Product 1988,The product that's perfect for 1988 stuff,7952
706,Product 706,The product that's perfect for 706 stuff,22592
560,Product 560,The product that's perfect for 560 stuff,24640
8896,Product 8896,The product that's perfect for 8896 stuff,26688
9088,Product 9088,The product that's perfect for 9088 stuff,63616
5824,Product 5824,The product that's perfect for 5824 stuff,69888
2440,Product 2440,The product that's perfect for 2440 stuff,78080
5248,Product 5248,The product that's perfect for 5248 stuff,94464
8608,Product 8608,The product that's perfect for 8608 stuff,180768
8504,Product 8504,The product that's perfect for 8504 stuff,238112
4369,Product 4369,The product that's perfect for 4369 stuff,8738
2874,Product 2874,The product that's perfect for 2874 stuff,14370
1828,Product 1828,The product that's perfect for 1828 stuff,16452
914,Product 914,The product that's perfect for 914 stuff,32904
3700,Product 3700,The product that's perfect for 3700 stuff,37000
2362,Product 2362,The product that's perfect for 2362 stuff,47240
7360,Product 7360,The product that's perfect for 7360 stuff,139840
9764,Product 9764,The product that's perfect for 9764 stuff,156224
165,Product 165,The product that's perfect for 165 stuff,3465
210,Product 210,The product that's perfect for 210 stuff,6930
348,Product 348,The product that's perfect for 348 stuff,10788
2697,Product 2697,The product that's perfect for 2697 stuff,10788
1027,Product 1027,The product that's perfect for 1027 stuff,12324
6162,Product 6162,The product that's perfect for 6162 stuff,12324
6418,Product 6418,The product that's perfect for 6418 stuff,12836
1540,Product 1540,The product that's perfect for 1540 stuff,13860
3496,Product 3496,The product that's perfect for 3496 stuff,34960
771,Product 771,The product that's perfect for 771 stuff,37008
4108,Product 4108,The product that's perfect for 4108 stuff,49296
2310,Product 2310,The product that's perfect for 2310 stuff,110880
5280,Product 5280,The product that's perfect for 5280 stuff,110880
4512,Product 4512,The product that's perfect for 4512 stuff,139872
4296,Product 4296,The product that's perfect for 4296 stuff,189024
6880,Product 6880,The product that's perfect for 6880 stuff,254560
6584,Product 6584,The product that's perfect for 6584 stuff,263360
4371,Product 4371,The product that's perfect for 4371 stuff,4371
1335,Product 1335,The product that's perfect for 1335 stuff,6675
4627,Product 4627,The product that's perfect for 4627 stuff,18508
6364,Product 6364,The product that's perfect for 6364 stuff,31820
1660,Product 1660,The product that's perfect for 1660 stuff,43160
9924,Product 9924,The product that's perfect for 9924 stuff,59544
2284,Product 2284,The product that's perfect for 2284 stuff,82224
7699,Product 7699,The product that's perfect for 7699 stuff,123184
257,Product 257,The product that's perfect for 257 stuff,1285
77,Product 77,The product that's perfect for 77 stuff,1925
1989,Product 1989,The product that's perfect for 1989 stuff,3978
884,Product 884,The product that's perfect for 884 stuff,15912
1733,Product 1733,The product that's perfect for 1733 stuff,27728
1198,Product 1198,The product that's perfect for 1198 stuff,28752
1413,Product 1413,The product that's perfect for 1413 stuff,45216
3424,Product 3424,The product that's perfect for 3424 stuff,102720
3338,Product 3338,The product that's perfect for 3338 stuff,106816
7072,Product 7072,The product that's perfect for 7072 stuff,127296
8220,Product 8220,The product that's perfect for 8220 stuff,394560
4117,Product 4117,The product that's perfect for 4117 stuff,4117
3086,Product 3086,The product that's perfect for 3086 stuff,18516
6165,Product 6165,The product that's perfect for 6165 stuff,49320
2055,Product 2055,The product that's perfect for 2055 stuff,98640
7904,Product 7904,The product that's perfect for 7904 stuff,205504
2827,Product 2827,The product that's perfect for 2827 stuff,5654
247,Product 247,The product that's perfect for 247 stuff,6422
972,Product 972,The product that's perfect for 972 stuff,8748
1714,Product 1714,The product that's perfect for 1714 stuff,10284
1396,Product 1396,The product that's perfect for 1396 stuff,19544
1182,Product 1182,The product that's perfect for 1182 stuff,23640
742,Product 742,The product that's perfect for 742 stuff,26712
9772,Product 9772,The product that's perfect for 9772 stuff,39088
1028,Product 1028,The product that's perfect for 1028 stuff,45232
2059,Product 2059,The product that's perfect for 2059 stuff,65888
2056,Product 2056,The product that's perfect for 2056 stuff,90464
625,Product 625,The product that's perfect for 625 stuff,4375
799,Product 799,The product that's perfect for 799 stuff,7191
758,Product 758,The product that's perfect for 758 stuff,15918
1460,Product 1460,The product that's perfect for 1460 stuff,55480
5399,Product 5399,The product that's perfect for 5399 stuff,86384
3456,Product 3456,The product that's perfect for 3456 stuff,172800
5760,Product 5760,The product that's perfect for 5760 stuff,172800
7704,Product 7704,The product that's perfect for 7704 stuff,246528
675,Product 675,The product that's perfect for 675 stuff,675
579,Product 579,The product that's perfect for 579 stuff,1158
38,Product 38,The product that's perfect for 38 stuff,1862
995,Product 995,The product that's perfect for 995 stuff,1990
1094,Product 1094,The product that's perfect for 1094 stuff,2188
94,Product 94,The product that's perfect for 94 stuff,2444
90,Product 90,The product that's perfect for 90 stuff,2700
180,Product 180,The product that's perfect for 180 stuff,2700
98,Product 98,The product that's perfect for 98 stuff,3724
4376,Product 4376,The product that's perfect for 4376 stuff,4376
3596,Product 3596,The product that's perfect for 3596 stuff,7192
206,Product 206,The product that's perfect for 206 stuff,8240
2160,Product 2160,The product that's perfect for 2160 stuff,10800
584,Product 584,The product that's perfect for 584 stuff,12848
835,Product 835,The product that's perfect for 835 stuff,13360
5912,Product 5912,The product that's perfect for 5912 stuff,23648
2568,Product 2568,The product that's perfect for 2568 stuff,30816
1648,Product 1648,The product that's perfect for 1648 stuff,32960
7200,Product 7200,The product that's perfect for 7200 stuff,43200
6168,Product 6168,The product that's perfect for 6168 stuff,49344
1920,Product 1920,The product that's perfect for 1920 stuff,86400
8754,Product 8754,The product that's perfect for 8754 stuff,140064
1029,Product 1029,The product that's perfect for 1029 stuff,10290
438,Product 438,The product that's perfect for 438 stuff,11826
2058,Product 2058,The product that's perfect for 2058 stuff,41160
7928,Product 7928,The product that's perfect for 7928 stuff,55496
5712,Product 5712,The product that's perfect for 5712 stuff,205632
4378,Product 4378,The product that's perfect for 4378 stuff,8756
687,Product 687,The product that's perfect for 687 stuff,16488
652,Product 652,The product that's perfect for 652 stuff,19560
2398,Product 2398,The product that's perfect for 2398 stuff,28776
7450,Product 7450,The product that's perfect for 7450 stuff,29800
796,Product 796,The product that's perfect for 796 stuff,35024
1886,Product 1886,The product that's perfect for 1886 stuff,45264
2142,Product 2142,The product that's perfect for 2142 stuff,51408
4122,Product 4122,The product that's perfect for 4122 stuff,65952
363,Product 363,The product that's perfect for 363 stuff,6171
561,Product 561,The product that's perfect for 561 stuff,6171
434,Product 434,The product that's perfect for 434 stuff,16492
4732,Product 4732,The product that's perfect for 4732 stuff,47320
1542,Product 1542,The product that's perfect for 1542 stuff,55512
3602,Product 3602,The product that's perfect for 3602 stuff,86448
5872,Product 5872,The product that's perfect for 5872 stuff,123312
5552,Product 5552,The product that's perfect for 5552 stuff,222080
