fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trips_last_5min,key
4.9,2012-02-23 14:24:07 UTC,-73.973046,40.755643,-73.98181600000001,40.756428,1,1139,46
6.9,2011-04-14 14:35:27 UTC,-73.982016,40.764016999999996,-73.98536999999999,40.751232,1,3010,47
5.7,2009-01-30 13:48:25 UTC,-73.999827,40.738109,-73.988598,40.738683,2,2607,48
9.3,2010-02-25 20:14:00 UTC,-73.9816,40.766027,-74.006988,40.73867,1,2641,49
9.3,2009-07-20 18:29:02 UTC,-73.977473,40.753662,-73.952525,40.773314,1,3652,50
45.5,2013-12-21 06:21:00 UTC,-73.99662,40.763015,-73.961825,40.720275,1,1334,51
3.7,2011-03-24 09:56:53 UTC,-73.949169,40.773329,-73.955841,40.773745,2,1139,52
6.1,2010-02-25 20:14:00 UTC,-73.96494200000001,40.791778,-73.96422700000001,40.803957000000004,3,3010,53
6.5,2015-05-19 09:00:10 UTC,-73.98151397705078,40.74668884277344,-73.98204803466797,40.75806427001953,1,1948,54
10.0,2014-05-20 23:09:00 UTC,-73.978717,40.772532,-73.9911,40.750377,1,2623,55
7.5,2013-12-06 14:55:00 UTC,-73.996335,40.686147,-73.97893499999999,40.684615,1,2002,56
14.1,2011-03-19 03:32:00 UTC,-73.994098,40.75136,-73.98854200000001,40.702453000000006,3,2410,57
9.7,2012-07-05 14:18:00 UTC,-73.993725,40.74812,-73.974692,40.759557,1,916,58
6.1,2011-12-03 10:28:00 UTC,-73.952225,40.771955,-73.971435,40.781832,2,2623,59
6.5,2013-04-18 08:48:00 UTC,-73.972178,40.765757,-73.980637,40.759322,1,2329,60
22.1,2010-03-09 20:50:49 UTC,-73.982667,40.739206,-73.83641800000001,40.720249,1,2833,61
4.9,2009-09-30 08:50:27 UTC,-74.00832199999999,40.721816,-74.000162,40.729107,1,2524,62
4.5,2012-03-04 00:57:00 UTC,-73.998987,40.739458,-74.006702,40.744238,3,2833,63
9.0,2014-07-11 15:47:07 UTC,-73.974039,40.751259000000005,-73.975672,40.758513,1,2955,64
9.0,2013-09-09 11:39:06 UTC,-73.995304,40.73664,-73.985003,40.727996999999995,1,2833,65
3.7,2010-06-26 16:11:30 UTC,-73.987394,40.724740000000004,-73.989059,40.729905,2,2172,66
7.0,2014-02-24 18:22:00 UTC,-73.988765,40.753892,-73.990932,40.739602000000005,1,2833,67
21.3,2010-04-09 08:48:40 UTC,-74.009152,40.716896000000006,-73.945065,40.657066,1,818,68
39.87,2010-12-21 13:08:00 UTC,-74.01173299999999,40.70792,-73.872722,40.774333,5,1615,69
12.5,2009-08-13 20:16:04 UTC,-73.999888,40.741257,-73.978707,40.78817,1,2876,70
49.8,2012-02-21 11:53:00 UTC,-73.78399999999999,40.648662,-73.975317,40.757567,1,1742,71
6.5,2014-04-11 00:16:56 UTC,-73.991638,40.726197,-74.002752,40.72742,1,2272,72
17.0,2013-04-18 08:48:00 UTC,-73.78171,40.645042,-73.751487,40.677552,5,2667,73
4.9,2010-02-25 20:14:00 UTC,-73.98156999999999,40.778822999999996,-73.973247,40.787852,1,1550,74
5.5,2014-12-22 19:41:41 UTC,-73.99423900000001,40.741139000000004,-73.981301,40.741446999999994,1,1611,75
10.9,2011-11-27 18:09:42 UTC,-73.981703,40.752154,-73.984707,40.726493,2,2955,76
4.9,2011-12-03 10:28:00 UTC,-73.992588,40.763527,-73.982038,40.775408,1,2809,77
6.9,2009-08-28 08:11:07 UTC,-73.990572,40.750876,-73.980641,40.753337,1,1149,78
9.7,2011-01-02 19:24:36 UTC,-74.006291,40.734123,-73.981465,40.761714000000005,1,3415,79
4.1,2009-09-17 10:34:25 UTC,-73.951976,40.769375,-73.959769,40.773573,1,1691,80
16.5,2011-07-23 23:01:41 UTC,-74.008123,40.712029,-73.988159,40.737678,1,773,81
7.5,2015-04-27 21:37:36 UTC,-73.97085571289062,40.75843811035156,-73.98179626464844,40.75983047485352,1,2607,82
3.5,2012-09-12 09:18:44 UTC,-73.997483,40.741565,-73.997665,40.736206,1,3010,83
13.7,2010-05-06 18:27:55 UTC,-73.974417,40.790902,-73.965758,40.754312,1,2607,84
7.3,2012-06-23 17:07:10 UTC,-73.998573,40.722771,-73.98908399999999,40.736486,1,1139,85
12.0,2013-05-31 10:24:41 UTC,-73.995213,40.730789,-73.973668,40.75273,1,1561,86
5.3,2009-05-27 20:37:00 UTC,-73.98045,40.759903,-73.977688,40.753708,5,3010,87
5.5,2014-02-24 18:22:00 UTC,-73.985215,40.7418,-73.979035,40.750605,3,915,88
6.1,2009-11-05 06:47:00 UTC,-73.98201,40.776103000000006,-73.962388,40.776371999999995,1,717,89
4.1,2011-12-03 10:28:00 UTC,-73.95024699999999,40.783605,-73.954458,40.776388,1,1139,90
19.0,2013-12-09 15:03:00 UTC,-73.990503,40.775327000000004,-73.995897,40.730796999999995,5,1352,91
8.5,2012-11-19 17:41:00 UTC,-73.95863299999999,40.764782000000004,-73.976105,40.752759999999995,3,871,92
12.5,2015-05-30 22:54:53 UTC,-73.98921966552734,40.74380111694336,-74.01174926757812,40.7075309753418,5,1139,93
7.7,2010-12-21 13:08:00 UTC,-73.981898,40.771943,-73.96173,40.779562,2,3010,94
13.0,2012-10-21 12:45:04 UTC,-73.9945,40.750325,-73.984753,40.728359000000005,2,2607,95
12.5,2009-01-06 08:35:30 UTC,-73.960355,40.813128999999996,-73.99104399999999,40.770825,1,2420,96
7.5,2013-12-06 14:55:00 UTC,-73.981697,40.778991999999995,-73.96895500000001,40.795962,2,1479,97
10.9,2009-12-07 20:49:00 UTC,-73.987557,40.741803000000004,-73.986,40.777491999999995,1,1334,98
17.3,2012-03-04 00:57:00 UTC,-74.002348,40.739905,-73.912812,40.756932,1,1352,99
4.9,2010-02-25 20:14:00 UTC,-73.69530300000001,40.793337,-73.6953,40.793338,4,916,100
12.0,2012-12-02 00:26:14 UTC,-74.016111,40.715115000000004,-73.993891,40.741502000000004,2,2386,101
9.0,2014-11-04 18:16:42 UTC,-74.00439200000001,40.742383000000004,-73.991825,40.733411,1,2630,102
7.7,2012-07-26 20:53:20 UTC,-73.977601,40.779004,-73.963139,40.798475,1,1216,103
15.0,2014-09-16 09:34:40 UTC,-74.000795,40.747359,-73.97675799999999,40.763405999999996,1,2240,104
13.7,2012-04-13 22:23:16 UTC,-73.988286,40.774698,-73.952451,40.742385,1,2262,105
10.9,2010-07-18 02:08:11 UTC,-73.99584,40.767164,-73.953941,40.777125,1,1010,106
7.0,2015-02-07 08:21:20 UTC,-73.9748306274414,40.742183685302734,-73.98917388916016,40.72669982910156,1,2833,107
8.5,2013-05-02 14:14:35 UTC,-73.967677,40.756027,-73.98141899999999,40.751521999999994,1,1938,108
6.5,2010-01-04 04:50:20 UTC,-73.99696800000001,40.720487,-73.99696800000001,40.720487,1,859,109
18.5,2013-04-18 08:48:00 UTC,-74.008065,40.704562,-73.978212,40.752421999999996,2,2833,110
9.5,2015-05-11 14:48:18 UTC,-73.9822006225586,40.77547836303711,-73.96161651611328,40.76681137084961,1,2290,111
10.1,2009-07-03 17:05:03 UTC,-73.996494,40.725839,-73.983529,40.724883,1,1726,112
12.5,2014-02-24 18:22:00 UTC,-73.976737,40.751222,-74.00425200000001,40.742432,2,1564,113
7.5,2013-04-18 08:48:00 UTC,-73.982202,40.759857000000004,-73.98943,40.747627,5,1553,114
4.9,2009-05-27 20:37:00 UTC,-73.9916,40.745208,-73.991297,40.755687,5,1778,115
5.5,2013-10-23 19:40:19 UTC,-73.97386,40.76409,-73.97399999999999,40.757775,1,3019,116
9.7,2012-07-22 17:30:55 UTC,-73.99351800000001,40.762443,-73.99154399999999,40.760016,1,2011,117
4.5,2014-11-23 15:36:44 UTC,-73.983486,40.78092,-73.982036,40.775603000000004,2,1416,118
11.7,2010-04-29 12:28:00 UTC,-73.998722,40.720003000000005,-73.963722,40.757027,1,1558,119
3.3,2011-12-09 10:28:06 UTC,-73.95541300000001,40.780075,-73.95895300000001,40.774995000000004,1,2809,120
8.5,2012-02-21 11:53:00 UTC,-73.980613,40.782055,-73.97613299999999,40.760193,1,1209,121
20.1,2009-07-20 18:29:02 UTC,-74.012874,40.701980999999996,-73.954355,40.783823,1,1726,122
4.9,2009-11-05 06:47:00 UTC,-73.99061800000001,40.750977,-73.97447,40.744215000000004,1,2692,123
40.54,2015-06-26 15:03:50 UTC,-73.95800018310547,40.76504135131836,-73.86473846435547,40.7702522277832,1,3010,124
5.7,2010-09-10 21:21:02 UTC,-73.975922,40.757888,-73.960923,40.76295,3,2876,125
8.9,2009-11-14 00:21:54 UTC,-73.984287,40.732045,-73.992038,40.749272,4,2661,126
8.5,2012-07-05 14:18:00 UTC,-73.977048,40.747648,-73.983985,40.75955,2,2025,127
8.5,2014-10-14 07:18:36 UTC,-73.98539,40.735912,-73.975441,40.753493,1,1284,128
14.0,2014-10-06 15:16:00 UTC,-73.949782,40.768512,-73.98229,40.773559999999996,1,1352,129
7.5,2012-11-19 17:41:00 UTC,-73.967567,40.801167,-73.94491,40.803371999999996,1,3010,130
13.3,2011-03-19 03:32:00 UTC,-74.003067,40.733616999999995,-74.0008,40.681377000000005,1,833,131
13.5,2012-12-16 20:38:58 UTC,-73.978462,40.758235,-73.983903,40.717358000000004,1,618,132
7.7,2012-03-09 00:06:41 UTC,-73.949933,40.812213,-73.93069799999999,40.811042,1,2080,133
10.0,2014-10-28 08:30:25 UTC,-73.97666600000001,40.77535,-73.96153000000001,40.806001,1,2356,134
7.3,2012-02-21 11:53:00 UTC,-74.008448,40.714583000000005,-73.99140200000001,40.736845,1,3010,135
12.9,2012-07-05 14:18:00 UTC,-73.983767,40.743407,-74.0132,40.716762,2,1247,136
19.0,2014-05-12 08:39:01 UTC,-73.96020899999999,40.761616,-74.011801,40.702232,1,2623,137
13.7,2012-03-04 00:57:00 UTC,-73.988182,40.75914,-73.92607,40.762278,5,858,138
15.5,2015-06-15 19:49:43 UTC,-73.96815490722656,40.75690841674805,-73.99783325195312,40.7418212890625,1,2607,139
7.7,2011-02-15 03:00:44 UTC,-73.961069,40.780675,-73.98723100000001,40.760776,1,916,140
10.1,2012-06-07 21:55:17 UTC,-73.98237900000001,40.775172999999995,-73.984452,40.748128,1,2876,141
4.5,2010-03-01 14:42:35 UTC,-73.976545,40.756527,-73.969887,40.752978000000006,1,2623,142
6.5,2010-03-03 11:23:24 UTC,-74.003189,40.74827,-73.98859499999999,40.741018,1,2172,143
9.0,2013-06-25 20:34:47 UTC,-74.00506999999999,40.740712,-73.980417,40.747288,1,1726,144
6.1,2011-05-20 17:01:39 UTC,-73.98144,40.724843,-73.98964699999999,40.735716,1,2833,145
4.5,2011-10-05 08:14:00 UTC,-73.991937,40.744057,-73.98454699999999,40.754672,1,2512,146
8.1,2010-03-16 10:18:08 UTC,-73.973351,40.747839,-73.993748,40.741521999999996,1,1615,147
3.5,2014-01-29 15:31:10 UTC,-74.003159,40.723459000000005,-74.005445,40.726554,1,1500,148
8.9,2012-04-18 22:37:09 UTC,-73.993104,40.757726,-73.966308,40.753254999999996,1,1550,149
8.5,2013-03-07 17:27:13 UTC,-73.951629,40.766381,-73.9672,40.763296999999994,1,2781,150
17.3,2010-02-15 01:39:05 UTC,-73.96939300000001,40.761207,-73.96939300000001,40.761207,2,1778,151
6.5,2013-06-05 20:44:58 UTC,-73.989242,40.73997,-73.999768,40.738479999999996,1,1031,152
7.3,2009-11-04 08:33:35 UTC,-73.973046,40.748209,-73.95321700000001,40.76993,2,2002,153
7.7,2011-05-17 19:40:15 UTC,-73.98286999999999,40.771615000000004,-73.995186,40.749694,1,2809,154
8.5,2013-12-06 14:55:00 UTC,-73.98241,40.75122,-73.997687,40.736825,3,2809,155
14.9,2011-11-16 10:18:30 UTC,-73.949011,40.777359999999994,-73.99193299999999,40.74759,1,966,156
7.5,2013-05-18 21:51:49 UTC,-73.950778,40.786128000000005,-73.975024,40.786997,1,2172,157
18.5,2014-05-20 23:09:00 UTC,-73.984882,40.748055,-73.95276,40.746977,6,1809,158
4.5,2010-12-21 13:08:00 UTC,-73.961168,40.769325,-73.95375200000001,40.770846999999996,1,2955,159
4.9,2011-07-12 09:05:42 UTC,-74.00525999999999,40.72894,-73.992914,40.724094,1,1615,160
4.5,2010-07-03 11:09:01 UTC,-73.996397,40.748540000000006,-73.999454,40.738852,1,1611,161
9.3,2009-05-27 20:37:00 UTC,-73.980492,40.770188,-74.007583,40.740952,3,1823,162
4.9,2012-06-23 02:59:51 UTC,-74.007148,40.741738,-74.004021,40.741808,2,2011,163
12.1,2010-12-21 13:08:00 UTC,-74.00728000000001,40.704855,-73.991745,40.733548,1,862,164
14.5,2013-03-27 03:35:00 UTC,-73.97908000000001,40.723859999999995,-73.94174,40.726302000000004,1,2781,165
6.5,2009-05-27 20:37:00 UTC,-73.982625,40.742565,-73.975923,40.7303,1,1745,166
5.0,2014-05-31 09:21:29 UTC,-73.944846,40.805842999999996,-73.950956,40.794435,1,1887,167
79.0,2012-09-10 14:54:28 UTC,-73.974253,40.786518,-74.177625,40.695465000000006,1,2017,168
7.0,2014-05-20 23:09:00 UTC,-73.987298,40.743977,-73.97415,40.748837,1,1139,169
5.7,2011-02-05 10:05:52 UTC,-73.962508,40.772989,-73.952816,40.779238,1,2040,170
10.9,2009-05-27 20:37:00 UTC,-73.87103499999999,40.773757,-73.82987800000001,40.761092,2,3010,171
3.7,2010-12-21 13:08:00 UTC,-73.980235,40.754175,-73.984942,40.749722,1,3010,172
15.3,2012-06-23 02:59:51 UTC,-73.989713,40.723168,-73.9443,40.795002000000004,1,1468,173
5.7,2010-12-21 13:08:00 UTC,-73.99128,40.738946999999996,-73.98745699999999,40.750157,1,2108,174
9.5,2013-05-22 16:17:41 UTC,-73.974914,40.750076,-73.966614,40.761555,1,3620,175
11.5,2015-06-27 01:12:01 UTC,-73.98123931884766,40.77397537231445,-74.00312805175781,40.74403381347656,1,2560,176
10.1,2011-10-05 08:14:00 UTC,-73.965703,40.766032,-73.97612,40.751605,1,916,177
7.5,2014-12-08 21:50:00 UTC,-73.98554,40.762879999999996,-73.97846,40.78297,2,916,178
9.3,2012-07-17 20:47:15 UTC,-74.007173,40.748853000000004,-73.99556700000001,40.721790000000006,2,2623,179
9.0,2014-05-17 15:15:00 UTC,-73.98955500000001,40.717182,-73.99954,40.72455,1,2011,180
19.0,2009-02-01 20:56:11 UTC,-73.939891,40.715851,-74.004922,40.743219,1,2923,181
6.1,2011-08-24 15:33:12 UTC,-73.964824,40.772513000000004,-73.94673399999999,40.776402000000004,1,2623,182
7.3,2010-09-25 22:30:17 UTC,-73.979822,40.784143,-73.990691,40.761286,1,858,183
6.0,2015-04-20 06:05:14 UTC,-73.98455047607422,40.74269485473633,-73.99034118652344,40.75102996826172,1,1726,184
4.1,2011-03-16 13:02:56 UTC,-73.976906,40.747359,-73.982936,40.746775,1,2623,185
4.5,2011-10-05 08:14:00 UTC,-73.981462,40.741158,-73.993212,40.746617,1,2623,186
5.3,2010-10-19 10:16:38 UTC,-73.974822,40.756291,-73.98366700000001,40.749098,1,2332,187
5.3,2010-02-25 20:14:00 UTC,-73.96518499999999,40.758677,-73.95145,40.769935,1,1742,188
3.7,2010-02-25 20:14:00 UTC,-73.990048,40.73883,-73.991827,40.734246999999996,1,2616,189
4.9,2011-10-03 13:31:29 UTC,-73.976824,40.75797,-73.976632,40.754434,1,1531,190
5.7,2012-04-25 22:48:22 UTC,-73.982473,40.682879,-73.982473,40.682879,2,2232,191
9.7,2010-02-12 14:17:54 UTC,-74.003765,40.750091999999995,-73.98713000000001,40.764455,2,2833,192
8.1,2010-09-12 14:28:34 UTC,-73.981873,40.728348,-74.009105,40.7093,1,2011,193
7.0,2014-05-20 23:09:00 UTC,-73.99739,40.756957,-73.98073199999999,40.745002,2,2900,194
5.3,2009-12-07 20:49:00 UTC,-74.002592,40.728392,-74.00955,40.71632,2,2781,195
16.5,2009-11-05 06:47:00 UTC,-73.960082,40.763115,-74.010727,40.713395,1,1778,196
6.0,2013-07-18 21:49:17 UTC,-74.007271,40.748401,-73.993156,40.743128999999996,1,2781,197
5.7,2011-07-27 09:45:56 UTC,-74.011178,40.715773,-74.00765200000001,40.727554999999995,1,1615,198
11.7,2011-02-25 18:05:12 UTC,-73.96888299999999,40.750414,-73.992589,40.749131,2,2955,199
7.5,2014-05-20 23:09:00 UTC,-74.014177,40.715657,-74.002012,40.724505,1,2459,200
12.1,2012-03-08 14:40:17 UTC,-73.990306,40.75307,-73.997867,40.724133,1,2627,201
6.9,2010-12-21 13:08:00 UTC,-74.001997,40.740446999999996,-73.988842,40.756985,1,1114,202
28.5,2012-07-19 06:27:00 UTC,-73.981835,40.755128000000006,-73.861488,40.76818,1,848,203
16.5,2013-01-03 14:04:29 UTC,-73.86299100000001,40.768826000000004,-73.907625,40.741289,1,2607,204
8.1,2009-07-04 08:36:00 UTC,-73.951477,40.770213,-73.97538,40.751971999999995,1,2568,205
5.0,2014-09-10 07:23:17 UTC,-73.99418299999999,40.745985,-73.98535,40.753426,1,3010,206
12.0,2015-05-11 14:48:18 UTC,-73.97101593017578,40.78326034545898,-73.96953582763672,40.76330947875977,1,1097,207
5.0,2013-04-18 08:48:00 UTC,-74.002297,40.739987,-73.99441999999999,40.749945000000004,1,1352,208
4.5,2010-03-16 10:18:08 UTC,-73.992191,40.737936,-73.98434300000001,40.740204,1,607,209
8.0,2014-02-24 18:22:00 UTC,-73.986785,40.766847,-73.975785,40.786587,1,3010,210
4.9,2012-02-21 11:53:00 UTC,-74.008033,40.722896999999996,-74.000918,40.728945,5,2607,211
4.5,2010-02-25 20:14:00 UTC,-73.975972,40.750896999999995,-73.987002,40.739477,1,1247,212
21.0,2015-02-28 13:41:18 UTC,-73.99054718017578,40.7615852355957,-73.99787902832031,40.72260284423828,1,1217,213
6.1,2009-05-27 20:37:00 UTC,-73.98846,40.761578,-73.99231800000001,40.753857,5,3451,214
12.5,2014-02-08 18:32:08 UTC,-74.003017,40.732356,-73.985737,40.762824,2,2262,215
6.9,2012-06-04 14:02:44 UTC,-73.976508,40.751596,-73.992172,40.754355,1,2623,216
4.1,2010-03-01 14:42:35 UTC,-73.97901800000001,40.777635,-73.987166,40.776314,1,2623,217
8.5,2013-04-18 08:48:00 UTC,-73.925813,40.772447,-73.94109499999999,40.750707,2,2172,218
7.7,2012-06-27 13:02:29 UTC,-73.947139,40.776127,-73.965986,40.765407,1,2278,219
12.5,2015-01-18 14:21:56 UTC,-73.98692321777344,40.729637145996094,-73.99341583251953,40.702552795410156,1,2763,220
10.5,2014-05-20 23:09:00 UTC,-73.99055,40.737265,-73.995127,40.715897,1,2172,221
15.5,2014-12-08 21:50:00 UTC,-73.991652,40.726825,-73.952005,40.781942,1,1144,222
8.0,2014-11-09 12:06:10 UTC,-73.996361,40.753005,-74.005449,40.739422999999995,2,2411,223
15.3,2010-05-15 23:16:05 UTC,-73.976913,40.779892,-73.993992,40.72679,2,916,224
6.5,2013-06-10 00:12:09 UTC,-73.993338,40.757395,-74.005723,40.736996000000005,2,2623,225
18.5,2012-07-05 14:18:00 UTC,-73.976557,40.759562,-74.010587,40.706677,1,2623,226
9.7,2010-09-12 14:28:34 UTC,-73.98325200000001,40.756078,-73.90924,40.765625,1,5142,227
7.5,2013-03-07 08:19:51 UTC,-73.978122,40.766415,-73.983284,40.761906,1,2955,228
6.1,2012-07-19 06:27:00 UTC,-73.99703199999999,40.737266999999996,-73.982925,40.758027,2,2747,229
8.5,2011-12-31 20:25:44 UTC,-73.962595,40.769890999999994,-73.962149,40.769393,1,2623,230
7.3,2012-02-21 11:53:00 UTC,-73.99515,40.749942,-73.99515,40.749942,1,1084,231
4.5,2009-08-15 01:47:01 UTC,-74.009582,40.725767,-74.00656,40.737838,3,2809,232
8.5,2015-01-10 11:23:35 UTC,-73.98409271240234,40.75980758666992,-73.97637939453125,40.7492561340332,1,1668,233
16.1,2012-08-21 11:14:21 UTC,-73.992699,40.750558000000005,-73.984402,40.720310999999995,1,651,234
9.7,2010-07-09 06:58:36 UTC,-73.98451800000001,40.686856,-74.009523,40.720502,1,2404,235
4.0,2014-10-06 15:16:00 UTC,-73.97502,40.761877,-73.97979699999999,40.754607,1,1334,236
4.1,2011-05-25 19:00:03 UTC,-73.961549,40.76498,-73.964832,40.759009000000006,1,1257,237
8.1,2009-10-09 00:56:17 UTC,-74.008071,40.738887,-74.008455,40.707739000000004,1,2809,238
9.0,2014-12-08 21:50:00 UTC,-74.00091,40.731759999999994,-73.980968,40.752952,5,1611,239
19.5,2014-10-06 15:16:00 UTC,-74.013749,40.70947,-73.98167099999999,40.743133,1,2742,240
10.5,2015-06-21 12:26:17 UTC,-73.99407958984375,40.7512321472168,-73.97909545898438,40.76251983642578,1,2955,241
3.7,2011-02-05 10:05:52 UTC,-73.979867,40.776324,-73.98458000000001,40.769735,1,2332,242
5.7,2010-10-19 08:22:43 UTC,-73.98183900000001,40.749538,-73.97444300000001,40.763211,1,1962,243
10.1,2010-05-22 12:30:55 UTC,-74.002772,40.760583000000004,-73.967394,40.752495,1,2955,244
10.0,2014-12-08 21:50:00 UTC,-73.964737,40.772067,-73.990665,40.750797,3,1611,245
6.5,2013-01-10 09:36:42 UTC,-73.95437,40.783971,-73.95152900000001,40.797794,1,1611,246
15.0,2013-04-18 08:48:00 UTC,-73.980222,40.7441,-74.006925,40.718872,1,2955,247
12.1,2010-03-27 21:08:03 UTC,-73.991323,40.723888,-73.99351300000001,40.762214,1,2781,248
11.0,2014-10-24 00:59:16 UTC,-73.99402099999999,40.750927000000004,-73.96368199999999,40.765279,1,1726,249
4.0,2014-10-06 15:16:00 UTC,-73.962365,40.773157,-73.96161500000001,40.776765000000005,6,2718,250
6.5,2015-06-20 14:08:45 UTC,-73.99017333984375,40.77143859863281,-73.97484588623047,40.76405334472656,1,2955,251
6.9,2010-11-14 01:49:20 UTC,-74.006748,40.731506,-74.00764000000001,40.714154,2,2955,252
6.9,2012-05-05 22:46:05 UTC,-73.981794,40.728269,-73.990487,40.740279,1,2207,253
14.1,2010-09-21 12:10:48 UTC,-73.972098,40.756842,-73.989634,40.715931,1,1139,254
4.9,2009-08-20 23:04:58 UTC,-73.990537,40.761726,-74.004729,40.751945,1,1069,255
8.9,2012-03-08 05:39:10 UTC,-73.981075,40.763495,-73.946527,40.749788,1,2607,256
12.5,2009-02-26 10:36:21 UTC,-73.975916,40.747357,-73.98355500000001,40.774359000000004,1,2749,257
8.5,2012-10-28 00:45:32 UTC,-73.97881,40.782346999999994,-73.95565400000001,40.776596000000005,3,2607,258
10.5,2011-07-03 10:36:46 UTC,-73.989213,40.773145,-73.946022,40.789677000000005,1,1525,259
